created_at,user_id,session_id,device_id,attempt_index,char_id,response_time,press_duration,retry_count,prev_accuracy,prev_mastery,hint_count,session_number,difficulty_level,time_since_last_practice,prev_confidence,current_streak,wrong_streak,prev_mistakes,teaching_action,confidence_state,expected_pattern,entered_pattern,is_correct,press_order,source,is_synthetic,spec_version,braille_map_verified
2026-07-31T04:26:28.356+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,0,49,4657.80000007153,83,0,0,0,0,2,1,100.671,2,0,4,3,2,1,8,2,False,[2],web,False,1,False
2026-07-31T04:26:36.497+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,1,39,3249.39999997616,126.333333293597,0,1,0.25,0,2,1,134.985,1,2,0,0,2,1,41,41,True,"[1,4,6]",web,False,1,False
2026-07-31T04:26:45.562+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,2,42,6089.60000002384,71.2999999920527,0,0.333333333333333,0.105625,0,2,1,108.997,1,1,0,2,2,2,19,19,True,"[1,2,5]",web,False,1,False
2026-07-31T04:26:52.181+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,3,27,3371.70000004768,78.8250000476837,0,0,0,0,2,1,604800,1,1,0,0,2,1,57,57,True,"[1,4,5,6]",web,False,1,False
2026-07-31T04:27:03.414+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,4,0,8722.29999995232,76.1000000238419,0,0,0,0,2,1,604800,1,1,0,0,2,2,1,1,True,[1],web,False,1,True
2026-07-31T04:27:08.361+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,5,48,1911.59999990463,94.4000000953674,0,0,0,0,2,1,604800,1,0,1,0,0,1,6,32,False,[6],web,False,1,False
2026-07-31T04:27:12.648+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,6,48,1984.19999992847,104.550000011921,1,0,0,0,2,1,4.287,1,0,2,1,0,1,6,18,False,"[2,5]",web,False,1,False
2026-07-31T04:27:16.334+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,7,48,1380.5,79.0500000119209,2,0,0,0,2,1,3.686,1,1,0,2,1,2,6,6,True,"[2,3]",web,False,1,False
2026-07-31T04:27:21.488+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,8,48,1872.5,105.899999976158,0,0.333333333333333,0.25,0,2,1,5.153,2,2,0,2,2,0,6,6,True,"[2,3]",web,False,1,False
2026-07-31T04:27:31.683+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,9,25,6163.80000007153,156.175000011921,0,0,0,0,2,1,604800,1,1,0,0,2,2,60,60,True,"[4,5,6,3]",web,False,1,False
2026-07-31T04:27:36.189+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,10,47,1208,67.4499999284744,0,0,0,0,2,1,604800,1,1,0,0,2,0,48,48,True,"[5,6]",web,False,1,False
2026-07-31T04:27:40.5+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,11,49,1336.39999997616,58.9000000953674,0,0,0,0,2,1,72.144,1,0,5,4,2,1,8,2,False,[2],web,False,1,False
2026-07-31T04:27:46.289+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,12,8,2386.10000002384,57.4999999602636,0,1,0.25,0,2,1,244.049,2,0,1,0,0,1,12,42,False,"[4,2,6]",web,False,1,True
2026-07-31T04:27:54.439+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,13,8,4800.29999995232,113.633333365122,1,0.5,0.1625,0,2,1,8.15,1,0,2,1,0,1,12,42,False,"[2,4,6]",web,False,1,True
2026-07-31T04:27:59.273+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,14,8,2427.70000004768,117.399999976158,2,0.333333333333333,0.105625,0,2,1,4.834,1,1,0,2,1,2,12,12,True,"[3,4]",web,False,1,True
